qf,AVVHG4-SYDQCX,"Link from AVVHG4 to Sydney Data Centre"
qf,CNSAPT-SYDQCX,"Link from CNSAPT to Sydney Data Centre"
qf,ABXDTB-SYDQCX,"Link from ABXDTB to Sydney Data Centre"
qf,ADLNJS-SYDQCX,"Link from ADLNJS to Sydney Data Centre"
qf,AMR343-SYDQCX,"Link from AMR343 to Sydney Data Centre"
qf,ARMDTB-SYDQCX,"Link from ARMDTB to Sydney Data Centre"
qf,ASPDTB-SYDQCX,"Link from ASPDTB to Sydney Data Centre"
qf,AYQDTB-SYDQCX,"Link from AYQDTB to Sydney Data Centre"
qf,BDBDTB-SYDQCX,"Link from BDBDTB to Sydney Data Centre"
qf,BKQDTB-SYDQCX,"Link from BKQDTB to Sydney Data Centre"
qf,BMEDTB-SYDQCX,"Link from BMEDTB to Sydney Data Centre"
qf,BNEASA-SYDQCX,"Link from BNEASA to Sydney Data Centre"
qf,BNEBOW-SYDQCX,"Link from BNEBOW to Sydney Data Centre"
qf,BNECCA-SYDQCX,"Link from BNECCA to Sydney Data Centre"
qf,BNESNP-SYDQCX,"Link from BNESNP to Sydney Data Centre"
qf,CBRDTB-SYDQCX,"Link from CBRDTB to Sydney Data Centre"
qf,CBRHGR-SYDQCX,"Link from CBRHGR to Sydney Data Centre"
qf,CBRHQB-SYDQCX,"Link from CBRHQB to Sydney Data Centre"
qf,CBRQDS-SYDQCX,"Link from CBRQDS to Sydney Data Centre"
qf,CFSDTB-SYDQCX,"Link from CFSDTB to Sydney Data Centre"
qf,CTLDTB-SYDQCX,"Link from CTLDTB to Sydney Data Centre"
qf,DBODTB-SYDQCX,"Link from DBODTB to Sydney Data Centre"
qf,DPODTB-SYDQCX,"Link from DPODTB to Sydney Data Centre"
qf,DRWAMC-SYDQCX,"Link from DRWAMC to Sydney Data Centre"
qf,DRWDTB-SYDQCX,"Link from DRWDTB to Sydney Data Centre"
qf,DRWHQB-SYDQCX,"Link from DRWHQB to Sydney Data Centre"
